"AUC","Brier","model","EPV","P","rho","beta_pattern","sim"
0.726223864895461,0.218129010439256,"MLE",10,8,0,"strong",6
0.730313722734072,0.216606231058664,"MLE",10,8,0,"strong",7
0.746299696567616,0.216289022135014,"MLE",10,8,0,"strong",8
0.759418208323354,0.199255037340356,"MLE",10,8,0,"strong",9
0.741901921722989,0.208649695136062,"MLE",10,8,0,"strong",10
0.672441274570374,0.233546796811433,"MLE",10,8,0,"noise",1
0.676206583702687,0.235572343311363,"MLE",10,8,0,"noise",2
0.691269596234501,0.22422102270224,"MLE",10,8,0,"noise",3
0.694746321738813,0.232571764078737,"MLE",10,8,0,"noise",4
0.676267881144392,0.229590154730368,"MLE",10,8,0,"noise",5
0.680361969049227,0.228009916434809,"MLE",10,8,0,"noise",6
0.669845202050778,0.228724809832873,"MLE",10,8,0,"noise",7
0.652840341781874,0.237805554858055,"MLE",10,8,0,"noise",8
0.688714454047324,0.227754365075831,"MLE",10,8,0,"noise",9
0.687696380830927,0.230088117081405,"MLE",10,8,0,"noise",10
0.651565296331054,0.232820235102129,"MLE",10,8,0,"halfnoise",1
0.64086460552051,0.234890405041259,"MLE",10,8,0,"halfnoise",2
0.58489862395884,0.249246429703112,"MLE",10,8,0,"halfnoise",3
0.605601543976653,0.244246785943365,"MLE",10,8,0,"halfnoise",4
0.620280603586402,0.245474388884445,"MLE",10,8,0,"halfnoise",5
0.59545386519629,0.252060489519389,"MLE",10,8,0,"halfnoise",6
0.629300784640557,0.25557929207878,"MLE",10,8,0,"halfnoise",7
0.62037120705474,0.258259513789078,"MLE",10,8,0,"halfnoise",8
0.637216694609745,0.237615947797795,"MLE",10,8,0,"halfnoise",9
0.641259254590906,0.239200581593822,"MLE",10,8,0,"halfnoise",10
0.900772387541432,0.128383336217067,"MLE",10,8,0.5,"equal",1
0.907009572012807,0.12651521323747,"MLE",10,8,0.5,"equal",2
0.912057558949461,0.122070211432433,"MLE",10,8,0.5,"equal",3
0.913208148797163,0.120997191974752,"MLE",10,8,0.5,"equal",4
0.909605449961538,0.13118998873983,"MLE",10,8,0.5,"equal",5
0.911314372716644,0.123946503783597,"MLE",10,8,0.5,"equal",6
0.913481991973754,0.132073057469427,"MLE",10,8,0.5,"equal",7
0.909250607330223,0.123163871345287,"MLE",10,8,0.5,"equal",8
0.91683572219096,0.123020066522491,"MLE",10,8,0.5,"equal",9
0.896364362691173,0.136131293877204,"MLE",10,8,0.5,"equal",10
0.844847203624831,0.163776101695691,"MLE",10,8,0.5,"strong",1
0.8200980679435,0.175543306344449,"MLE",10,8,0.5,"strong",2
0.835174479677953,0.168399312254992,"MLE",10,8,0.5,"strong",3
0.834514621718906,0.168355603659212,"MLE",10,8,0.5,"strong",4
0.813318919313328,0.200206930807667,"MLE",10,8,0.5,"strong",5
0.847064212201187,0.159738083201899,"MLE",10,8,0.5,"strong",6
0.836687878277321,0.167920838699381,"MLE",10,8,0.5,"strong",7
0.836512390083238,0.16496559831962,"MLE",10,8,0.5,"strong",8
0.844629164095051,0.161132294158763,"MLE",10,8,0.5,"strong",9
0.834816588521869,0.166424647714349,"MLE",10,8,0.5,"strong",10
0.814558562170966,0.176527831106936,"MLE",10,8,0.5,"noise",1
0.804557644557643,0.182409747162511,"MLE",10,8,0.5,"noise",2
0.800255341783067,0.186421393649353,"MLE",10,8,0.5,"noise",3
0.812184787758624,0.179752268535024,"MLE",10,8,0.5,"noise",4
0.81186221387628,0.179129032144243,"MLE",10,8,0.5,"noise",5
0.821394728215216,0.175031961738594,"MLE",10,8,0.5,"noise",6
0.811666504461216,0.181031504172358,"MLE",10,8,0.5,"noise",7
0.790050937313537,0.198002190682837,"MLE",10,8,0.5,"noise",8
0.812635214867734,0.180634620104583,"MLE",10,8,0.5,"noise",9
0.808352940192881,0.182394197605398,"MLE",10,8,0.5,"noise",10
0.710176751946432,0.222085863878221,"MLE",10,8,0.5,"halfnoise",1
0.691395935643404,0.225076232385532,"MLE",10,8,0.5,"halfnoise",2
0.694201600070412,0.225457289526864,"MLE",10,8,0.5,"halfnoise",3
0.72440389410902,0.216944784271275,"MLE",10,8,0.5,"halfnoise",4
0.698875257586963,0.221992737905231,"MLE",10,8,0.5,"halfnoise",5
0.70895893898801,0.22158666120513,"MLE",10,8,0.5,"halfnoise",6
0.727620355423138,0.216877623111435,"MLE",10,8,0.5,"halfnoise",7
