"rMPSE","MAPE","Brier","EPV","P","rho","beta_pattern","sim"
0.184012532166876,0.147441876003721,0.2680974008,10,4,0.5,"halfnoise",9
0.154600612901034,0.127591382047428,0.2618954016,10,4,0.5,"halfnoise",10
0.163261942269244,0.134047943358426,0.2092703028,10,8,0,"equal",1
0.17614088963868,0.144807321365985,0.2147313052,10,8,0,"equal",2
0.162055227751723,0.130641362352998,0.2060808856,10,8,0,"equal",3
0.178106877188006,0.140206935780547,0.212333596,10,8,0,"equal",4
0.16319807781881,0.133145895323816,0.20560685,10,8,0,"equal",5
0.180988285714332,0.147437745390166,0.2147791664,10,8,0,"equal",6
0.178253523416839,0.146572991704083,0.2123778252,10,8,0,"equal",7
0.176792594757727,0.142101918424497,0.2162747136,10,8,0,"equal",8
0.16463230761215,0.133802040231775,0.2037828812,10,8,0,"equal",9
0.169524519249771,0.137813864605968,0.2086224336,10,8,0,"equal",10
0.178017547208138,0.142365077238741,0.23019637,10,8,0,"strong",1
0.130890106082397,0.106337808558768,0.2151517604,10,8,0,"strong",2
0.136332282347923,0.109213854984937,0.2202184556,10,8,0,"strong",3
0.145545013897686,0.118201724586011,0.2207334312,10,8,0,"strong",4
0.164626428493825,0.132629278815525,0.2255164068,10,8,0,"strong",5
0.194860733829713,0.158220518363782,0.2351182052,10,8,0,"strong",6
0.166190205335655,0.134071531083715,0.2269364828,10,8,0,"strong",7
0.182078886370809,0.146383085219296,0.2314023364,10,8,0,"strong",8
0.163424190163473,0.132038546125886,0.225439384,10,8,0,"strong",9
0.159153522832592,0.126693902320404,0.2269595472,10,8,0,"strong",10
0.157438514453511,0.126950900450418,0.244984774,10,8,0,"noise",1
0.15794253127475,0.126863894411541,0.2421388148,10,8,0,"noise",2
0.153358868574805,0.123814225628248,0.2414314712,10,8,0,"noise",3
0.135862401631895,0.109015375771302,0.2345520548,10,8,0,"noise",4
0.14718134830909,0.119070654700278,0.2415477748,10,8,0,"noise",5
0.126579221834276,0.101273683768401,0.236549286,10,8,0,"noise",6
